model_types,model1,model2,mmd
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_100000.pt_1,2spirals_1,0.0015593469142913818
dfs-data,dataq_dfs_experiments_2spirals_2spirals_19_ckpts_model_75000.pt_1,2spirals_2,0.0018868654733523726
dfs-data,dataq_dfs_experiments_2spirals_2spirals_19_ckpts_model_20000.pt_1,2spirals_3,0.0012975186109542847
dfs-data,dataq_dfs_experiments_2spirals_2spirals_19_ckpts_model_5000.pt_1,2spirals_3,0.00919103343039751
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_75000.pt_1,2spirals_4,0.0011406451230868697
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_75000.pt_2,2spirals_5,0.0011009604204446077
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_20000.pt_1,2spirals_6,0.0021831183694303036
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_20000.pt_2,2spirals_7,0.0020238340366631746
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_75000.pt_3,2spirals_8,0.0012554347049444914
dfs-data,dataq_dfs_experiments_2spirals_2spirals_13_ckpts_model_7500.pt_1,2spirals_9,0.0006885885959491134
