model_types,model1,model2,mmd
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_95000.pt_1,2spirals_1,9.617209434509277e-05
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_5000.pt_1,2spirals_2,0.0008281022310256958
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_15000.pt_1,2spirals_3,0.0002628326474223286
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_20000.pt_1,2spirals_4,0.00034227370633743703
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_20000.pt_2,2spirals_5,0.0004423588397912681
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_5000.pt_2,2spirals_6,0.0007429033285006881
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_15000.pt_2,2spirals_7,0.00013158321962691844
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_5000.pt_3,2spirals_8,0.0007498830673284829
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_20000.pt_3,2spirals_9,0.0005278289318084717
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_15000.pt_3,2spirals_10,0.00022382437600754201
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_20000.pt_4,2spirals_11,0.0003008335770573467
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_15000.pt_4,2spirals_12,0.00024101734743453562
gfn-data,eb_gfn_experiments_2spirals_2spirals_eb_gfn_2spirals_11_ckpts_gfn_model_5000.pt_4,2spirals_13,0.0005836904165335
